year,start_date,start_datetime,end_datetime,duration_hr
2015,2015-07-15,2015-07-15 00:00:00,2015-07-16 00:00:00,24.0
2016,2016-07-12,2016-07-12 00:00:00,2016-07-13 00:00:00,24.0
2017,2017-07-11,2017-07-11 00:00:00,2017-07-12 00:00:00,24.0
2017,2017-07-12,2017-07-12 00:00:00,2017-07-12 06:00:00,6.0
2018,2018-07-16,2018-07-16 00:00:00,2018-07-17 00:00:00,24.0
2018,2018-07-17,2018-07-17 00:00:00,2018-07-17 12:00:00,12.0
2019,2019-07-15,2019-07-15 00:00:00,2019-07-16 00:00:00,24.0
2019,2019-07-16,2019-07-16 00:00:00,2019-07-17 00:00:00,24.0
2020,2020-10-13,2020-10-13 00:00:00,2020-10-14 00:00:00,24.0
2020,2020-10-14,2020-10-14 00:00:00,2020-10-15 00:00:00,24.0
2021,2021-06-21,2021-06-21 00:00:00,2021-06-22 00:00:00,24.0
2021,2021-06-22,2021-06-22 00:00:00,2021-06-23 00:00:00,24.0
2022,2022-07-12,2022-07-12 00:00:00,2022-07-13 00:00:00,24.0
2022,2022-07-13,2022-07-13 00:00:00,2022-07-14 00:00:00,24.0
2023,2023-07-11,2023-07-11 00:00:00,2023-07-12 00:00:00,24.0
2023,2023-07-12,2023-07-12 00:00:00,2023-07-13 00:00:00,24.0
2024,2024-07-16,2024-07-16 00:01:00,2024-07-17 00:00:00,23.983333333333334
2024,2024-07-17,2024-07-17 00:00:00,2024-07-18 00:00:00,24.0
2024,2024-07-18,2024-07-18 00:00:00,2024-07-18 00:01:00,0.01666666666666572
2025,2025-07-08,2025-07-08 00:01:00,2025-07-09 00:00:00,23.983333333333334
2025,2025-07-09,2025-07-09 00:00:00,2025-07-10 00:00:00,24.0
2025,2025-07-10,2025-07-10 00:00:00,2025-07-11 00:00:00,24.0
2025,2025-07-11,2025-07-11 00:00:00,2025-07-12 00:00:00,24.0
2025,2025-07-12,2025-07-12 00:00:00,2025-07-12 00:01:00,0.01666666666666572
